iteration, target, wins, loses, tie
1, 11, 16, 4, 0, 0
1, 6, 16, 4, 0, 0
1, 3, 14, 6, 0, 0
1, 9, 2, 18, 0, 0
1, 10, 7, 13, 0, 0
1, 5, 6, 14, 0, 0
1, 2, 15, 5, 0, 0
1, 4, 20, 0, 0, 0
1, 8, 4, 16, 0, 0
1, 14, 4, 16, 0, 0
1, 31, 20, 0, 0, 0
1, 12, 17, 3, 0, 0
1, 13, 9, 11, 0, 0
1, 21, 11, 9, 0, 0
1, 18, 18, 2, 0, 0
1, 34, 15, 5, 0, 0
1, 15, 0, 18, 0, 2
1, 19, 0, 20, 0, 0
1, 27, 0, 18, 0, 2
1, 16, 11, 9, 0, 0
1, 17, 16, 4, 0, 0
