{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 19, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 20, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 20, 'targetPosition': 4}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 20, 'targetPosition': 7}, 3, 0, 17
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 20, 'targetPosition': 14}, 12, 0, 8
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 20, 'targetPosition': 24}, 14, 5, 1
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 20, 'targetPosition': 27}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 20, 'targetPosition': 28}, 9, 3, 8
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 20, 'targetPosition': 31}, 7, 0, 13
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 21, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 22, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 22, 'targetPosition': 4}, 11, 0, 9
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 22, 'targetPosition': 7}, 14, 1, 5
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 22, 'targetPosition': 9}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 22, 'targetPosition': 14}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 22, 'targetPosition': 24}, 17, 3, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 22, 'targetPosition': 25}, 15, 0, 5
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 22, 'targetPosition': 27}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 22, 'targetPosition': 31}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 23, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 23, 'targetPosition': 4}, 5, 0, 15
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 23, 'targetPosition': 9}, 12, 0, 8
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 23, 'targetPosition': 24}, 5, 0, 15
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 23, 'targetPosition': 25}, 14, 0, 6
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 23, 'targetPosition': 27}, 9, 0, 11
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 23, 'targetPosition': 28}, 14, 1, 5
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 23, 'targetPosition': 31}, 20, 0, 0
