{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 12, 'targetPosition': 7}, 8, 12, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 12, 'targetPosition': 8}, 10, 10, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 12, 'targetPosition': 9}, 8, 12, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 12, 'targetPosition': 10}, 4, 15, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 12, 'targetPosition': 11}, 14, 6, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 12, 'targetPosition': 13}, 13, 7, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 12, 'targetPosition': 14}, 14, 6, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 13, 'targetPosition': 7}, 14, 6, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 13, 'targetPosition': 8}, 16, 4, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 13, 'targetPosition': 9}, 14, 6, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 13, 'targetPosition': 10}, 12, 5, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 13, 'targetPosition': 11}, 12, 8, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 13, 'targetPosition': 12}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 13, 'targetPosition': 14}, 15, 5, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 14, 'targetPosition': 5}, 16, 4, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 14, 'targetPosition': 7}, 19, 1, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 14, 'targetPosition': 8}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 14, 'targetPosition': 9}, 20, 0, 0
